baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	neg_log10_padj	in_calcium_signaling
ABL2	294.930984932541	-0.819980313848761	0.279431469821313	-2.93445943784754	0.00334129221872632	0.00804865016769382	2.09427694868517	FALSE
ABLIM1	42725.4795113907	-0.830949322308886	0.204852133384401	-4.05633716662167	4.98482863046051e-05	0.000178476018002636	3.74842013220637	FALSE
ABLIM2	634.560108444749	-1.72768194428825	0.250951050965016	-6.88453759266823	5.79755431471138e-12	6.3492185036267e-11	10.1972797267473	FALSE
ABLIM3	7271.32819426951	0.511656062977132	0.100492791117896	5.09147031628234	3.55297501978199e-07	1.93853382820463e-06	5.7125266159751	FALSE
ABO	174.564840684447	2.26263692674895	0.358576927335765	6.3100460577885	2.78952440239357e-10	2.43693402357129e-09	8.61315622854478	FALSE
ABR	2451.09101206051	-0.804580256804108	0.182999611577807	-4.39662275710362	1.09948190304448e-05	4.52004499072812e-05	4.34485724237275	FALSE
ABRA	1698.97628883611	-1.23231421207574	1.01365954528037	-1.21570819099315	0.224096102794189	0.310374563231117	0.508113878589853	FALSE
ABRACL	73.3747359838708	1.04041464833089	0.47369516570889	2.19638012723626	0.028064746857026	0.0523589402638193	1.2810091520799	FALSE
ABRAXAS2	782.488912440942	-0.239250605526477	0.151708086472667	-1.57704583248819	0.114784979556053	0.177361576410757	0.751140459815476	FALSE
ABT1	145.595464139321	-1.16045202388699	0.261586162719073	-4.43621333722166	9.15551162115754e-06	3.82007069723317e-05	4.41792859961862	FALSE
ABTB1	993.242160066675	1.39475663281877	0.212197764286406	6.57290917983587	4.93415572310477e-11	4.82647663411989e-10	9.31636979196996	FALSE
ABTB2	1200.96946717913	-2.07826276204161	0.293852731462864	-7.07246365107977	1.52206861958088e-12	1.82493622413179e-11	10.7387523081892	FALSE
ABTB3	58.9881670784699	2.86175905421116	0.642273847998057	4.45566803495294	8.36323594316891e-06	3.52410374550906e-05	4.45295131494816	FALSE
ACAA1	3043.52709942665	-0.0259615559568203	0.243822507923335	-0.106477273890495	0.91520368570101	0.94180071231249	0.026040985423062	FALSE
ACAA2	2139.53133313335	-0.60085707858368	0.265091017083178	-2.26660671189453	0.0234142617103665	0.0447436053515423	1.34926902423594	FALSE
ACACB	10751.105805711	-1.53461710560879	0.332735623689555	-4.61212144522463	3.9857999327614e-06	1.79032358079173e-05	4.74706846809721	FALSE
ACAD10	673.163759666597	0.0906686430859112	0.185057327631224	0.489948948504177	0.62417002458812	0.708090364288722	0.149911315463193	FALSE
ACAD11	3455.35294736592	0.852636074571514	0.236681700882003	3.60245879336736	0.000315221380979133	0.000956468646141481	3.01932926194711	FALSE
ACAD8	763.396388473104	-1.74518408393557	0.271301225802109	-6.43264356353677	1.25403490372611e-10	1.1533863880764e-09	8.93802517830937	FALSE
ACAD9	1596.60978014429	-0.635305916340439	0.158968347111782	-3.99643028239899	6.43048079562557e-05	0.000225003285546543	3.64781114018057	FALSE
ACADM	19265.1830854105	-0.760617441207621	0.140403068949914	-5.41738472596319	6.04771156716405e-08	3.70714598834297e-07	6.43096031100756	FALSE
ACADS	3037.33309297174	-1.24095111262278	0.227868670511387	-5.44590491460636	5.15426667576637e-08	3.19697736162857e-07	6.49526043903472	FALSE
ACADSB	4944.60802425815	-0.865376473622925	0.240909380509053	-3.59212444029512	0.000327993149711039	0.000991539905913593	3.00368980231666	FALSE
ACADVL	28384.5686163078	-0.721405215343936	0.239516328229686	-3.01192499348996	0.0025959673280931	0.00638503378706483	2.19483680028044	FALSE
ACAP2	1097.86592609278	0.28632964522473	0.159419766760485	1.79607366792172	0.0724828016569272	0.119618580394833	0.922201355998055	FALSE
ACAP3	509.589226759497	0.348408599971158	0.175380437390075	1.98658758728169	0.0469681178805821	0.0824561752182158	1.08377681409139	FALSE
ACAT1	12566.2640358807	-0.0890145681399729	0.197613563408727	-0.450447664646696	0.652387682746798	0.732591369325501	0.135138202073861	FALSE
ACAT2	584.837267059904	-0.835130279762744	0.187081078604672	-4.46400184343329	8.04428714599118e-06	3.40320439473773e-05	4.46811196661356	FALSE
ACBD3	1234.31554053074	0.117955669910044	0.140456277001131	0.839803477840253	0.40101858315785	0.499591932553751	0.301384583259626	FALSE
ACBD4	214.226871697179	-0.0489142254934075	0.252886458030004	-0.193423664811676	0.846627183530469	0.891269744279782	0.0499908361170442	FALSE
ACBD5	2444.36333235912	-0.0467377718211009	0.14828813029834	-0.315182150635183	0.752623357153119	0.816912018293408	0.087824714614734	FALSE
ACCS	250.827121513857	0.374403024578292	0.327622416733159	1.14278817765768	0.253126548503505	0.342281482275043	0.465616595934592	FALSE
ACD	142.154687396643	1.65843429836886	0.373608384098098	4.4389643513284	9.03927855876369e-06	3.77602265551501e-05	4.42296540867068	FALSE
ACE	855.361952999942	3.85605418658523	0.259602568227181	14.8536827386498	6.58495713028096e-50	9.45297291823982e-48	47.024431586312	FALSE
ACE2	139.012258412797	1.3808356121145	0.60955016397611	2.26533547806348	0.0234921004816394	0.0448762063327559	1.34798386383719	FALSE
ACER3	251.217125622149	-1.59401146467155	0.201448088093955	-7.91276541640894	2.51733428167882e-15	4.14599101926731e-14	13.3823716429771	FALSE
ACIN1	4600.74280370932	0.299507077624106	0.155958911179844	1.92042298422262	0.0548044926407291	0.0943920098720009	1.0250647664579	FALSE
ACKR1	390.94714631659	4.05894287926039	1.09707914854341	3.69977214921043	0.000215793121611785	0.000678216074225441	3.16863192133369	FALSE
ACKR3	1824.03603772522	0.0966601351683549	0.233308278906796	0.414302208311131	0.678652796790245	0.7548244854259	0.122154020387234	FALSE
ACKR4	240.073934191624	0.968432598970889	0.310250295766157	3.1214558444799	0.00179959233061577	0.00460985515508352	2.33631272023643	FALSE
ACLY	939.301955854567	0.196953378304391	0.196497525353823	1.00231989155969	0.316189118440219	0.412012607244725	0.385089494711899	FALSE
ACO1	3275.00164832486	-0.227508207924696	0.169648573665184	-1.34105582504751	0.179902328302979	0.258962426083824	0.586763244908071	FALSE
ACO2	15019.9433405453	-1.03243237171675	0.187799102121131	-5.49753625047061	3.85134160307878e-08	2.44109796238102e-07	6.61241479179632	FALSE
ACOT11	2739.00251319492	-1.91528495670295	0.297743930638904	-6.43265826642745	1.2539135627217e-10	1.1533863880764e-09	8.93802517830937	FALSE
ACOT13	3049.93299149814	-1.63408370138419	0.224445261520386	-7.28054444239524	3.32475631629796e-13	4.30718126195528e-12	11.3658068511511	FALSE
ACOT6	99.6789582154077	0.688229748466221	0.474683831243729	1.44986979367504	0.147094832130299	0.218911235881223	0.659731947175858	FALSE
ACOT8	690.890301062794	0.260640462113506	0.143550011883091	1.81567705007071	0.0694199265365985	0.115406553927744	0.937769526935651	FALSE
ACOT9	1843.83031162048	0.955027362152499	0.232633833681084	4.10528145042624	4.03822911588083e-05	0.000147568310622642	3.83100689454092	FALSE
ACOX1	949.220273830598	-0.037584643629072	0.229005446081483	-0.164121178217303	0.869635750063104	0.909086850316901	0.0413946241360239	FALSE
