gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
MAPKAP1	4157	4039	5098	4673	1863	2227	3213	2419
MAPKAPK2	10299	9860	13391	7676	8104	7223	14494	9829
MAPKAPK3	17905	15928	25354	16283	2782	3883	5891	2960
MAPKAPK5	920	859	1117	902	399	483	488	697
MAPKBP1	706	493	1104	1042	142	191	205	144
MAPRE2	13476	8653	8201	9891	6760	7638	10830	11940
MAPRE3	734	594	793	700	378	358	603	387
MAPT	868	331	391	563	1059	1152	1358	1182
MARCHF1	362	103	234	173	36	53	64	39
MARCHF2	144	173	192	188	165	188	287	241
MARCHF3	692	560	461	775	426	485	469	565
MARCHF5	699	527	519	646	594	569	1209	783
MARCHF6	2650	3207	3993	2687	2008	3169	3967	3433
MARCHF7	3983	3254	3742	3636	1971	2525	3383	2680
MARCHF8	939	870	1799	968	1036	1259	1510	1369
MARCHF9	482	389	531	517	273	353	507	369
MARCKSL1	1070	557	440	891	203	114	233	134
MARF1	1361	2180	2924	2040	1306	1945	2592	1659
MARK1	883	678	931	818	524	677	815	508
MARK2	1118	717	955	897	663	1017	1319	875
MARK3	2907	2315	3351	2499	1827	3779	2967	2389
MARK4	1152	737	1045	819	428	466	672	555
MARS1	3764	2214	2210	2668	1676	1713	2855	2124
MARS2	166	171	213	163	218	170	374	288
MARVELD1	552	206	280	472	202	256	374	335
MASP1	5758	6603	9428	7243	1001	204	558	1884
MASP2	198	107	269	116	63	167	207	247
MAST2	5169	5080	6483	4895	7257	8483	11208	10634
MAST3	512	253	244	371	119	108	191	144
MAST4	474	738	1021	608	862	1392	1053	1368
MASTL	129	90	215	134	45	42	39	33
MAT1A	933	938	412	211	92	670	617	1251
MAT2A	4898	4837	6687	3833	2945	3452	5288	3803
MAT2B	2421	1943	2783	2239	1604	1867	2908	2001
MATCAP1	207	165	209	231	42	29	64	52
MATCAP2	182	188	197	205	291	453	388	285
MATN2	4405	3866	2859	4484	1132	866	1769	1182
MATR3	1678	1478	2153	1633	1083	1877	1820	1513
MAU2	2573	1917	3547	2422	909	1159	1438	1261
MAVS	2643	2385	2673	1743	886	1031	1581	1053
MAX	2076	1127	1479	1731	690	841	1065	887
MAZ	803	514	544	818	333	466	589	501
MB	195940	241141	388781	186171	95582	109539	168762	144922
MB21D2	355	183	141	268	150	291	300	224
MBD1	2836	2012	2667	2426	1245	1624	2209	1908
MBD2	1513	856	1781	1098	539	483	851	550
MBD3	883	633	1012	923	480	436	779	656
MBD5	419	372	559	391	235	430	429	343
MBD6	1468	974	1715	1392	480	585	887	718
MBIP	470	349	565	505	155	221	337	185
MBLAC2	325	317	485	364	331	448	500	316
MBNL1	7457	6066	7585	6886	2849	3792	4398	3679
MBNL2	3592	2369	2717	3274	2650	3155	3678	4463
MBNL3	617	428	238	381	167	150	209	233
MBOAT1	184	104	112	154	30	49	74	32
MBOAT2	496	218	632	403	894	364	1443	693
MBOAT7	590	317	469	443	194	136	281	186
MBP	407	52	151	198	44	113	282	78
MBTD1	56	184	163	129	66	122	137	120
MBTPS1	4041	4035	4152	4798	2605	3536	4316	3369
MBTPS2	601	544	569	600	351	632	710	451
MCAM	8789	6088	5325	7501	7102	7501	8781	9965
MCAT	388	416	458	383	241	349	537	400
MCC	263	656	804	522	537	671	984	768
MCCC1	2462	2903	3700	2363	1471	2547	3724	2088
MCCC2	2408	3861	5216	2062	1273	1854	1779	1582
MCEE	586	738	1196	522	670	785	969	918
MCF2L	2283	3355	4130	2738	1311	921	2043	2078
MCF2L2	131	90	59	121	5	2	8	5
MCFD2	3096	2417	3383	2911	3077	2974	5825	3427
MCL1	12148	14637	8094	9077	3643	4573	5729	6767
MCM2	282	215	345	170	178	303	435	303
MCM3	1073	844	933	1009	130	159	249	123
MCM3AP	2443	1868	3297	2323	1266	1736	2438	1664
MCM4	961	914	957	664	708	919	1433	858
MCM5	378	236	421	230	30	21	62	37
MCM6	397	335	276	367	283	430	525	389
MCM7	1601	1281	1163	1804	179	229	378	205
MCM8	89	119	167	139	155	229	412	239
MCM9	328	233	339	293	173	206	300	167
MCMBP	2351	1585	2192	1828	685	1049	1147	999
MCOLN1	1125	612	760	544	318	501	597	437
MCOLN2	120	117	206	74	10	8	14	4
MCOLN3	1282	1407	2624	1083	5	9	13	12
MCPH1	513	467	563	403	92	149	156	144
MCRIP1	1211	1108	1747	1501	988	894	1549	1073
MCRIP2	411	528	708	640	649	594	819	762
MCRS1	2263	2309	3934	2634	1143	1229	1831	1329
MCTP1	475	88	138	243	48	84	102	73
MCTS1	429	383	364	402	193	268	384	256
MCTS2	186	141	177	180	82	86	157	106
MCU	1473	883	702	1220	371	483	704	495
MCUB	316	154	242	235	103	235	183	108
MCUR1	399	445	423	425	177	303	387	294
MDC1	348	205	554	318	297	376	471	346
MDFI	163	72	37	191	5	2	12	6
MDFIC	1049	911	857	1182	538	723	779	681
MDGA1	389	163	42	534	259	218	496	227
MDH1	53263	65193	75910	56732	36953	43951	65815	44986
MDH2	15120	18805	24349	15655	18714	21780	30301	22929
MDK	836	147	120	615	67	80	119	129
MDM1	336	245	332	362	91	89	144	79
MDM2	217	423	429	405	337	426	604	439
MDM4	234	218	220	278	205	290	286	235
MDN1	1430	2066	2362	1909	1225	1704	2363	1793
MDP1	347	379	513	424	240	339	368	255
ME1	1705	1125	2188	1191	1336	989	2176	1396
ME2	202	131	100	153	237	245	388	250
ME3	1128	1122	1303	1067	1285	942	2863	1867
MEA1	924	777	646	1045	1172	1090	1995	1420
MEAF6	1475	1067	1465	1305	796	933	1307	970
MECOM	1368	1145	822	1459	589	757	954	756
MECP2	3210	2272	5026	2519	1949	2567	3193	2357
MECR	1829	2066	2241	1800	967	1364	1886	1246
MED1	916	962	1276	1164	1020	1358	1708	1325
MED10	458	410	514	508	273	312	464	319
MED11	223	184	152	189	236	225	352	275
MED12	2238	1438	1932	1752	1102	1438	1827	1275
MED13	723	976	957	980	561	792	1165	1280
MED13L	2512	2795	4946	2882	1811	2104	3074	2282
MED14	1375	1544	1601	1566	762	1122	1362	892
MED15	2525	1433	1755	1840	578	693	939	873
MED16	382	402	321	402	179	171	311	208
MED17	1529	930	987	1238	891	1099	1427	1068
MED20	417	304	273	315	140	182	292	167
MED21	1761	1158	1151	1417	1289	1812	2251	1723
